id,source_entity,target_entity,relation_type,strength
1,右,左,共起,6
2,ペン,ペンギン,共起,5
3,パン,フライパン,共起,4
4,車,電車,共起,4
5,とけい,時計,共起,4
6,くるま,車,共起,4
7,口,漢字,共起,4
8,いか,かさ,共起,3
9,でんわ,電話,共起,3
10,ふね,船,共起,3
11,かみ,髪,共起,2
12,かさ,雨,共起,2
13,自転車,車,共起,2
14,上,下,共起,2
15,かき,雪,共起,2
16,パン,パンダ,共起,2
17,前,風,共起,2
18,兄,弟,共起,2
19,たこ,赤ちゃん,共起,2
20,下,前,共起,2
21,口,目,共起,2
22,漢字,雨,共起,2
23,かばん,子ども,共起,2
24,下,舌,共起,2
25,いか,かき,共起,2
26,のり,海,共起,2
27,パン,食パン,共起,1
28,すし,電車,共起,1
29,すし,車,共起,1
30,かに,かにカニでも食べられないカニ,共起,1
31,そば,やきそば,共起,1
32,うば,母,共起,1
33,はな,鼻,共起,1
34,くち,口,共起,1
35,て,手,共起,1
36,あたま,頭,共起,1
37,かみ,はさみ,共起,1
38,いか,自転車,共起,1
39,いか,車,共起,1
40,くるま,海,共起,1
41,海,車,共起,1
42,電車,電車とかけて弁当と解く。その心,共起,1
43,車,電車とかけて弁当と解く。その心,共起,1
44,電話,電話とかけて友情と解く。その心,共起,1
45,上,階段とかけて人生と解く。その心,共起,1
46,下,階段とかけて人生と解く。その心,共起,1
47,鏡,鏡とかけて夫婦と解く。その心,共起,1
48,海,漢字,共起,1
49,月,海,共起,1
50,月,漢字,共起,1
51,とり,漢字,共起,1
52,左,漢字,共起,1
53,右,漢字,共起,1
54,「口」に「鳥」を足すとできる鳥,口,共起,1
55,「人」と「人」が支え合う漢字,漢字,共起,1
56,ペンギン,前,共起,1
57,ペン,前,共起,1
58,かき,頭に雪が積もっている食べ物,共起,1
59,雪,頭に雪が積もっている食べ物,共起,1
60,ゾウ,ゾウが乗っている車,共起,1
61,ゾウが乗っている車,車,共起,1
62,ゾウ,車,共起,1
63,かさ,雨の日にかぎりなく近づけるもの,共起,1
64,雨,雨の日にかぎりなく近づけるもの,共起,1
65,子ども,子どもが3人集まるとできるもの,共起,1
66,いつも人のうしろにいるもの,うし,共起,1
67,子ども,子どもの頃,共起,1
68,からだが半分しかない鳥,とり,共起,1
69,パン,口の周りにぐるっと巻いた食べ物,共起,1
70,時計,歩くとカチカチ音がする生き物,共起,1
71,世界中の人の耳の後ろにあるもの,後ろ,共起,1
72,くま,中にクマが住んでいるお菓子,共起,1
73,かき,夏にしか会えない雪だるま,共起,1
74,夏にしか会えない雪だるま,雪,共起,1
75,パンダ,外,共起,1
76,パンダ,パンダの好きな食べ物,共起,1
77,パン,外,共起,1
78,パンダの好きな食べ物,外,共起,1
79,パン,パンダの好きな食べ物,共起,1
80,風,風が吹けば桶屋が儲かる。で,共起,1
81,お風呂に入る前にするべきこと,風,共起,1
82,お風呂に入る前にするべきこと,前,共起,1
