id,word,meaning,frequency,group_id
1,パン,フライパン,4,0
2,パン,食パン,1,0
3,パン,ライトバン,1,0
4,パン,食べ物のパン,1,0
5,カレー/カレンダー,カレー,4,1
6,カレー/カレンダー,カレンダー,4,1
7,うどんげ,優曇華,1,2
8,うどんげ,饂飩,1,2
9,てんぷら/テンプレート,テンプレート,1,3
10,てんぷら/テンプレート,天ぷら,1,3
11,りんご/わリンゴ,輪ゴム,2,4
12,りんご/わリンゴ,林檎,2,4
13,ぶどう/武道,武道,2,5
14,ぶどう/武道,葡萄,1,5
15,いか,伊賀,1,6
16,いか,以下,1,6
17,いか,烏賊,1,6
18,たこ,凧,2,7
19,たこ,蛸,1,7
20,とり,鳥,13,8
21,とり,取り,1,8
22,ぶた,豚,3,9
23,ぶた,蓋,1,9
24,うし,丑,1,10
25,うし,牛,1,10
26,うま,馬,4,11
27,うま,午,3,11
28,さる,申,1,12
29,さる,猿,1,12
30,いぬ,犬,5,13
31,いぬ,戌,1,13
32,ねずみ,子,38,14
33,ねずみ,鼠,1,14
34,めん,面,2,15
35,めん,麺,2,15
36,そば,蕎麦,2,16
37,そば,側,1,16
38,かみ,紙,10,17
39,かみ,髪,6,17
40,かみ,神,1,17
41,はな,鼻,7,18
42,はな,花,7,18
43,くつ,靴,10,19
44,くつ,朽つ,1,19
45,はし,箸,5,20
46,はし,橋,1,20
47,ふく,服,8,21
48,ふく,福,4,21
49,はる,春,6,22
50,はる,貼る/張る,1,22
51,かき,柿,3,23
52,かき,牡蠣,1,23
53,くも,雲,2,24
54,くも,蜘蛛,1,24
