id,question,answer,category,source,created_at
0,パンはパンでも食べられないパンは？,フライパン,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
1,パンはパンでも食べられるパンは？,食パン,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
2,パンはパンでも噛めないパンは？,歯磨き粉（ハミガキのパン的な…いや）→すりばん（擂り鉢）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
3,パンはパンでも乗り物のパンは？,パン（バン）→ライトバン,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
4,お茶はお茶でも人の役に立たないお茶は？,むだ茶（無駄茶）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
5,お茶はお茶でも飲めないお茶は？,おちゃのこさいさい,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
6,カレーはカレーでも食べられないカレーは？,カレンダー（カレン＋ダー）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
7,うどんはうどんでも食べられないうどんは？,うどんげ（優曇華）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
8,すしはすしでも食べられないすしは？,すしづめ（鮨詰め／満員電車）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
9,てんぷらはてんぷらでも食べられないてんぷらは？,テンプレート（template）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
10,りんごはりんごでも学校にあるりんごは？,わリンゴ（輪ゴム）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
11,ぶどうはぶどうでも学校にあるぶどうは？,ぶどう（武道）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
12,みかんはみかんでも目に入らないみかんは？,みかん（蜜柑）→蜜柑は目に入らない,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
13,いかはイカでも食べられないイカは？,いかさま（伊賀様）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
14,たこはタコでも食べられないタコは？,たこ（凧）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
15,かにカニでも食べられないカニは？,かに（蟹）→かにかくに,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
16,えびはエビでも食べられないエビは？,えびす（恵比寿）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
17,とりはトリでも食べられないトリは？,トリ（取り）→取引（とりひき）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
18,ぶたはブタでも食べられないブタは？,ぶた（豚）→ぶた（蓋）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
19,うしはウシでも食べられないウシは？,うし（丑）→丑年,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
20,うまはウマでも食べられないウマは？,うま（午）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
21,さるはサルでも食べられないサルは？,さる（申）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
22,いぬはイヌでも食べられないイヌは？,いぬ（戌）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
23,ねずみはネズミでも食べられないネズミは？,ねずみ（子）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
24,とらはトラでも食べられないトラは？,とら（寅）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
25,野菜は野菜でも食べられない野菜は？,やさい（野菜）→やさしい,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
26,たまごはタマゴでも食べられないタマゴは？,たまごっち,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
27,アイスはアイスでも食べられないアイスは？,アイス（氷）→アイスノン,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
28,ジュースはジュースでも飲めないジュースは？,じゅーす（呪術）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
29,めんはめんでも食べられないめんは？,めん（面）→お面,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
